Contrato,Protheus,Cliente,Desde,Dt. Iní. Vigência,Dt. Fim Vigência,Vl. Contratado (R$),Vl. Faturado (R$),Vl. Saldo (R$),Tipo,Situação,Vigente,Dir.,Ger.,Gerente,Objeto
402/SME/2024,3227-1,SME,2024-12-27,2025-11-27,2026-10-26,4848754.73,2178308.15,2670446.58,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-1,MALDE MARIA VILAS BOAS        ,ACESSO À REDE CORPORATIVA PMSP POR VPN SITE-TO-SITE E INTERNET
77/SMADS/2024,3191-1,SMADS,2024-10-27,2025-10-27,2026-10-26,2955035.4,1340399.33,1614636.07,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SERVIÇOS DE COMUNICAÇÃO
094/FTMSP/2024,3189-4,FTM,2024-10-28,2025-10-28,2026-10-27,194696.44,94358.75,100337.69,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO E MELHORIAS DE TIC
15/IPREM/2023,2956-13,IPREM,2023-07-28,2025-10-28,2026-10-27,8090805.72,3020966.63,5069839.09,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
030/SMC-G/2025,3359-1,SMC,2025-10-29,2025-10-29,2026-10-28,4456757.64,1654942.2,2801815.44,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,"ACESSO À REDE CORPORATIVA PMSP, INTERNET SD-WAN E WIFI"
05/2024/SMDET,3197-3,SMDET,2024-10-29,2024-10-29,2026-10-28,26016824.25,17799491.02,8217333.23,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,PRODUTOS E SERVIÇOS - MICROSOFT
17/2024-SMUL,3196-4,SMUL,2024-11-01,2025-11-01,2026-10-31,32303913.66,11314329.11,20989584.55,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SUSTENTAÇÃO DE INFRAESTRUTURA DE TIC
333/SMDHC/2023,3003-6,SMDHC,2023-11-01,2025-11-01,2026-10-31,4454754.61,1271372.35,3183382.26,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
387/2024-HSPM,3185-2,HSPM,2024-11-01,2025-11-01,2026-10-31,1002099.0,412467.73,589631.27,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS DE COMUNICAÇÃO - SD- WAN - REDE SEM FIO E INTERNET
072/SMC-G/2023,3007-3,SMC,2023-11-08,2025-11-08,2026-11-07,2054277.52,825558.45,1228719.07,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
